연번,업소명,업소소재지(도로명),업소소재지(지번),인허가일자,객실수,한실수,양실수
56,수모텔,대전광역시 서구 둔산로65번길 34 (둔산동),대전광역시 서구 둔산동 1326번지   ,2003-07-16,35,2,33
57,미드멜리호텔,"대전광역시 서구 둔산중로40번길 27 (둔산동,(3~7층))",대전광역시 서구 둔산동 1446번지  (3~7층) ,2003-09-16,44,10,34
58,제이앤케이호텔,대전광역시 서구 계룡로636번길 14-13 (용문동),대전광역시 서구 용문동 590번지 7호   ,2003-10-08,28,0,28
59,아이엔지,대전광역시 서구 둔산중로40번길 34 (둔산동),대전광역시 서구 둔산동 1441번지   ,2004-01-30,45,2,43
60,코지모텔,대전광역시 서구 도산로 114 (도마동),대전광역시 서구 도마동 97번지 31호   ,2005-09-13,15,0,15
61,프라임모텔,대전광역시 서구 둔산로65번길 30 (둔산동),대전광역시 서구 둔산동 1327번지   ,2006-04-27,35,1,34
62,로또,"대전광역시 서구 대덕대로234번길 29 (둔산동,(5~8층))",대전광역시 서구 둔산동 1323번지  (5~8층) ,2010-06-01,39,2,37
63,부띠크호텔락희,대전광역시 서구 대덕대로220번길 23 (둔산동),대전광역시 서구 둔산동 1359번지  1~11층 ,2013-06-04,54,0,54
64,토요코인 대전정부청사앞,대전광역시 서구 둔산중로134번길 13 (둔산동),대전광역시 서구 둔산동 922번지  3~14층 ,2013-09-30,300,0,300
65,썸무인텔,"대전광역시 서구 계룡로636번길 24, 1~6층동 (용문동)",대전광역시 서구 용문동 590번지 13호   ,2015-02-05,41,0,41
66,호텔3월,"대전광역시 서구 둔산중로32번길 29, 1~9층 (둔산동)",대전광역시 서구 둔산동 1435번지   ,2016-05-20,49,0,49
67,그레이스,"대전광역시 서구 도마3길 14, 1~3층 (도마동)",대전광역시 서구 도마동 143번지 18호  1층~3층 ,1990-02-01,19,19,0
68,이안레지던스호텔,"대전광역시 서구 둔산로65번길 29, 1~10층 (둔산동)",대전광역시 서구 둔산동 1333번지  1~10층 ,2012-02-10,134,0,134
69,(주)굿모닝레지던스호텔휴,"대전광역시 서구 둔산로73번길 21, 1~11층 (둔산동)",대전광역시 서구 둔산동 1314번지  1~11층 ,2012-02-28,134,0,134
70,레지던스호텔 라 미아,"대전광역시 서구 둔산로51번길 42, 2~10층 (둔산동)",대전광역시 서구 둔산동 1356번지  2~10층 ,2012-12-17,106,3,103
71,호텔그레이톤둔산,"대전광역시 서구 둔산중로 70, 3층~15층 (둔산동)",대전광역시 서구 둔산동 1403번지  3층~15층 ,2013-09-11,211,7,204
72,토요코인 대전정부청사앞,"대전광역시 서구 둔산중로134번길 13, 15~18층 (둔산동)",대전광역시 서구 둔산동 922번지  15~18층 ,2013-09-30,67,0,67
73,주식회사 레지던스호텔힐링,"대전광역시 서구 둔산로51번길 76, 2층~12층 (둔산동)",대전광역시 서구 둔산동 1351번지  2층~12층 ,2014-05-14,55,0,55
74,마치호텔,"대전광역시 서구 둔산중로64번길 20, 2~12층 (둔산동)",대전광역시 서구 둔산동 1466번지  2층~12층 ,2014-12-03,128,0,128
75,그랜드캐슬,"대전광역시 서구 문정로89번길 33, 그랜드캐슬 3~15층 (탄방동)",대전광역시 서구 탄방동 722번지  그랜드캐슬 ,2017-12-19,103,0,103
76,레지던스호텔라인,"대전광역시 서구 둔산로51번길 76, 2층~12층 (둔산동)",대전광역시 서구 둔산동 1351번지   ,2018-09-10,71,0,71
